recipe_key,language,title,cooking_instructions,calories,proteins_g,carbs_g,fats_g,servings,cooking_time_minutes,ingredients,tags
mushroom-cheese-omelette,ar,أومليت بالفطر والجبن الذائب,قطّع الفطر إلى شرائح.|سخّن المقلاة بالزبدة وحمّر الفطر حتى يصبح ذهبيًا.|اخفق البيض مع الحليب والملح والفلفل.|اسكب خليط البيض فوق الفطر.|رش الجبن المبشور وغطّ واطبخ لمدة 7-10 دقائق على نار هادئة.,480,32,6,36,1,15,بيض:3:pcs;فطر:100:g;جبن صلب:50:g;حليب:2:tbsp;زبدة:10:g;ملح:1:tsp;فلفل أسود:1:tsp,فطور
mushroom-cheese-omelette,de,Omelett mit Pilzen und geschmolzenem Käse,"Pilze in Scheiben schneiden.|Pfanne mit Butter erhitzen, Pilze goldbraun anbraten.|Eier mit Milch, Salz und Pfeffer verquirlen.|Eiermischung über die Pilze gießen.|Mit geriebenem Käse bestreuen, abdecken und 7-10 Minuten bei niedriger Hitze garen.",480,32,6,36,1,15,Eier:3:pcs;Champignons:100:g;Hartkäse:50:g;Milch:2:tbsp;Butter:10:g;Salz:1:tsp;Schwarzer Pfeffer:1:tsp,Frühstück
mushroom-cheese-omelette,en,Mushroom and Melted Cheese Omelette,"Slice the mushrooms.|Heat a pan with butter, sauté mushrooms until golden.|Beat eggs with milk, salt and pepper.|Pour egg mixture over mushrooms.|Sprinkle with grated cheese, cover and cook for 7-10 minutes on low heat.",480,32,6,36,1,15,Eggs:3:pcs;Mushrooms:100:g;Hard cheese:50:g;Milk:2:tbsp;Butter:10:g;Salt:1:tsp;Black pepper:1:tsp,breakfast
mushroom-cheese-omelette,es,Tortilla de champiñones y queso fundido,"Cortar los champiñones en láminas.|Calentar la sartén con mantequilla y dorar los champiñones.|Batir los huevos con leche, sal y pimienta.|Verter la mezcla de huevo sobre los champiñones.|Espolvorear con queso rallado, tapar y cocinar 7-10 minutos a fuego lento.",480,32,6,36,1,15,Huevos:3:pcs;Champiñones:100:g;Queso duro:50:g;Leche:2:tbsp;Mantequilla:10:g;Sal:1:tsp;Pimienta negra:1:tsp,desayuno
mushroom-cheese-omelette,fr,Omelette aux champignons et fromage fondu,"Couper les champignons en tranches.|Chauffer la poêle avec du beurre et faire dorer les champignons.|Battre les œufs avec le lait, le sel et le poivre.|Verser le mélange d'œufs sur les champignons.|Saupoudrer de fromage râpé, couvrir et cuire 7-10 minutes à feu doux.",480,32,6,36,1,15,Œufs:3:pcs;Champignons:100:g;Fromage à pâte dure:50:g;Lait:2:tbsp;Beurre:10:g;Sel:1:tsp;Poivre noir:1:tsp,"
petit-déjeuner"
mushroom-cheese-omelette,he,חביתה עם פטריות וגבינה נמסה,"חתכו את הפטריות לפרוסות.|חממו מחבת עם חמאה וטגנו את הפטריות עד להזהבה.|הקציפו ביצים עם חלב, מלח ופלפל.|יצקו את תערובת הביצים על הפטריות.|פזרו גבינה מגוררת, כסו ובשלו 7-10 דקות על אש נמוכה.",480,32,6,36,1,15,ביצים:3:pcs;פטריות:100:g;גבינה קשה:50:g;חלב:2:tbsp;חמאה:10:g;מלח:1:tsp;פלפל שחור:1:tsp,ארוחת בוקר
mushroom-cheese-omelette,hi,मशरूम और पिघले पनीर का ऑमलेट,"मशरूम को स्लाइस करें।|मक्खन के साथ पैन गर्म करें, मशरूम को सुनहरा होने तक भूनें।|अंडे को दूध, नमक और काली मिर्च के साथ फेंटें।|मशरूम के ऊपर अंडे का मिश्रण डालें।|कसा हुआ पनीर छिड़कें, ढक दें और 7-10 मिनट धीमी आँच पर पकाएँ।",480,32,6,36,1,15,अंडे:3:pcs;मशरूम:100:g;हार्ड चीज़:50:g;दूध:2:tbsp;मक्खन:10:g;नमक:1:tsp;काली मिर्च:1:tsp,नाश्ता
mushroom-cheese-omelette,id,Omelet Jamur dan Keju Leleh,"Iris jamur tipis.|Panaskan wajan dengan mentega, tumis jamur hingga keemasan.|Kocok telur dengan susu, garam dan merica.|Tuang campuran telur di atas jamur.|Taburi keju parut, tutup dan masak selama 7-10 menit dengan api kecil.",480,32,6,36,1,15,Telur:3:pcs;Jamur:100:g;Keju keras:50:g;Susu:2:tbsp;Mentega:10:g;Garam:1:tsp;Merica hitam:1:tsp,sarapan
mushroom-cheese-omelette,it,Omelette con funghi e formaggio filante,"Tagliare i funghi a fette.|Scaldare la padella con il burro e rosolare i funghi fino a doratura.|Sbattere le uova con latte, sale e pepe.|Versare il composto di uova sui funghi.|Cospargere con formaggio grattugiato, coprire e cuocere per 7-10 minuti a fuoco basso.",480,32,6,36,1,15,Uova:3:pcs;Funghi champignon:100:g;Formaggio a pasta dura:50:g;Latte:2:tbsp;Burro:10:g;Sale:1:tsp;Pepe nero:1:tsp,colazione
mushroom-cheese-omelette,ja,マッシュルームととろけるチーズのオムレツ,マッシュルームをスライスする。|バターでフライパンを熱し、マッシュルームをきつね色になるまで炒める。|卵を牛乳、塩、コショウと混ぜる。|マッシュルームの上に卵液を注ぐ。|すりおろしたチーズをふりかけ、蓋をして弱火で7〜10分加熱する。,480,32,6,36,1,15,卵:3:pcs;マッシュルーム:100:g;ハードチーズ:50:g;牛乳:2:tbsp;バター:10:g;塩:1:tsp;黒コショウ:1:tsp,朝食
mushroom-cheese-omelette,ko,버섯과 녹인 치즈 오믈렛,"버섯을 슬라이스한다.|버터를 두른 팬을 달구고 버섯을 노릇하게 볶는다.|달걀을 우유, 소금, 후추와 함께 풀어준다.|버섯 위에 달걀 혼합물을 붓는다.|갈은 치즈를 뿌리고 뚜껑을 덮어 약불에서 7-10분간 익힌다.",480,32,6,36,1,15,달걀:3:pcs;버섯:100:g;하드 치즈:50:g;우유:2:tbsp;버터:10:g;소금:1:tsp;흑후추:1:tsp,아침식사
mushroom-cheese-omelette,nl,Omelet met champignons en gesmolten kaas,"Snijd de champignons in plakjes.|Verhit een pan met boter en bak de champignons goudbruin.|Klop de eieren met melk, zout en peper.|Giet het eimengsel over de champignons.|Bestrooi met geraspte kaas, dek af en bak 7-10 minuten op laag vuur.",480,32,6,36,1,15,Eieren:3:pcs;Champignons:100:g;Harde kaas:50:g;Melk:2:tbsp;Boter:10:g;Zout:1:tsp;Zwarte peper:1:tsp,ontbijt
mushroom-cheese-omelette,pl,Omlet z pieczarkami i ciągnącym się serem,"Pokrój pieczarki w plastry.|Rozgrzej patelnię z masłem i obsmaż pieczarki do złotego koloru.|Roztrzep jajka z mlekiem, solą i pieprzem.|Wlej mieszankę jajeczną na pieczarki.|Posyp startym serem, przykryj i gotuj 7-10 minut na wolnym ogniu.",480,32,6,36,1,15,Jajka:3:pcs;Pieczarki:100:g;Ser żółty:50:g;Mleko:2:tbsp;Masło:10:g;Sól:1:tsp;Czarny pieprz:1:tsp,śniadanie
mushroom-cheese-omelette,pt-BR,Omelete de cogumelos e queijo derretido,"Fatie os cogumelos.|Aqueça a frigideira com manteiga e doure os cogumelos.|Bata os ovos com leite, sal e pimenta.|Despeje a mistura de ovos sobre os cogumelos.|Polvilhe com queijo ralado, tampe e cozinhe por 7-10 minutos em fogo baixo.",480,32,6,36,1,15,Ovos:3:pcs;Cogumelos:100:g;Queijo duro:50:g;Leite:2:tbsp;Manteiga:10:g;Sal:1:tsp;Pimenta-do-reino:1:tsp,café da manhã
mushroom-cheese-omelette,ru,Омлет с грибами и тягучим сыром,"Грибы нарежьте пластинками.|Разогрейте сковороду со сливочным маслом, обжарьте грибы до румяности.|Яйца взбейте с молоком, солью и перцем.|Залейте грибы яичной смесью.|Посыпьте тёртым сыром, накройте крышкой и готовьте 7-10 минут на слабом огне.",480,32,6,36,1,15,Яйца:3:pcs;Шампиньоны:100:g;Твёрдый сыр:50:g;Молоко:2:tbsp;Сливочное масло:10:g;Соль:1:tsp;Чёрный перец:1:tsp,завтрак
mushroom-cheese-omelette,th,ออมเล็ตเห็ดและชีสละลาย,หั่นเห็ดเป็นแผ่น|ตั้งกระทะใส่เนย ผัดเห็ดจนเหลืองทอง|ตีไข่กับนม เกลือ และพริกไทย|เทส่วนผสมไข่ลงบนเห็ด|โรยชีสขูด ปิดฝา และปรุงด้วยไฟอ่อน 7-10 นาที,480,32,6,36,1,15,ไข่:3:pcs;เห็ด:100:g;ชีสแข็ง:50:g;นม:2:tbsp;เนย:10:g;เกลือ:1:tsp;พริกไทยดำ:1:tsp,อาหารเช้า
mushroom-cheese-omelette,tr,Mantarlı ve Erimiş Peynirli Omlet,"Mantarları dilimleyin.|Tavayı tereyağıyla ısıtın, mantarları altın rengi olana kadar soteleyin.|Yumurtaları süt, tuz ve biberle çırpın.|Yumurta karışımını mantarların üzerine dökün.|Rendelenmiş peynir serpin, kapağını kapatın ve kısık ateşte 7-10 dakika pişirin.",480,32,6,36,1,15,Yumurta:3:pcs;Mantar:100:g;Kaşar peyniri:50:g;Süt:2:tbsp;Tereyağı:10:g;Tuz:1:tsp;Karabiber:1:tsp,kahvaltı
